lambda,loss_pct,discard_rate_pct,latency_avg_ms,latency_median_ms,packets_received,packets_discarded
0.0,0.0,6.7158,33.8855,49.7356,475,32
0.0,10.0,31.7960,203.6616,213.7247,317,141
0.0,25.0,23.3768,498.6745,492.2035,207,92
0.0,50.0,36.3276,506.9892,54.0541,316,93
0.5,0.0,4.7172,34.8880,50.0086,475,22
0.5,10.0,45.9783,37.8685,50.3351,446,205
0.5,25.0,48.6583,46.6470,51.5794,398,194
0.5,50.0,27.4099,825.0584,66.8671,304,85
1.0,0.0,4.7341,51.8410,49.9892,334,22
1.0,10.0,45.0629,38.7477,50.4302,441,199
1.0,25.0,46.3358,73.6261,51.1822,395,183
1.0,50.0,31.2705,366.1886,59.9768,274,94
